Season,Team,Pos,PA,Depth (ft.),Angle
2017,BAL,3,1433,110,35
2017,BAL,9,51,300,26
2017,BAL,7,3182,298,-25
2018,BAL,3,1591,111,35
2018,BAL,7,3394,291,-27
2019,BAL,7,199,302,-27
2019,BAL,3,1927,106,33
2019,BAL,9,3043,297,28
2021,BAL,3,2892,109,35
2022,HOU,9,35,289,27
2022,BAL,9,332,295,27
2022,BAL,3,1033,107,35
2022,BAL,7,106,303,-26
2022,HOU,7,551,295,-28
2022,HOU,3,332,109,36
