Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,-4,,1,1,0,1,-5,-1,0,-5,86,84,-2
2018,-11,,-3,-1,-2,-6,-2,1,-4,-5,87,81,-6
2019,-8,,-1,-1,-2,-4,-2,-2,0,-4,88,84,-4
2022,-2,,-2,-1,-1,-3,0,0,0,1,92,88,-4
