 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,10,18.5,0.0%,10.0%,12,28.6,0.0%,41.7%
2017,,656,16.2,36.1%,1.4%,345,21.8,2.0%,8.1%
2018,,744,16.1,35.9%,0.8%,391,22.6,1.8%,15.9%
2019,,728,17.1,26.8%,1.8%,473,22.7,1.1%,10.4%
2021,,710,17.5,22.7%,2.5%,439,23.3,0.5%,15.7%
2022,,631,17.7,24.2%,2.2%,436,23.1,0.5%,14.4%
