 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,582,"2,268",13,-15,10,9,17
2018,,635,"2,510",-5,-28,10,8,-15
2019,,676,"2,721",11,-19,17,15,24
2021,,612,"2,468",5,-18,10,11,8
2022,,609,"2,469",-23,-4,15,11,-1
