Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,BAL,AL,DH,4,4,0.0,0,0,0,0,0,,.000
2017,BAL,AL,1B,45,35,324.0,304,285,16,3,33,,.990
2017,BAL,AL,LF,88,85,729.1,160,152,5,3,2,,.981
2017,BAL,AL,RF,2,2,13.0,4,4,0,0,0,,1.000
2017,BAL,AL,DH,18,18,0.0,0,0,0,0,0,,.000
2018,BAL,AL,1B,47,40,363.0,361,331,27,3,34,,.992
2018,BAL,AL,LF,98,94,771.1,194,185,8,1,1,,.995
2018,BAL,AL,DH,17,16,0.0,0,0,0,0,0,,.000
2019,BAL,AL,1B,56,51,449.1,435,395,40,0,42,,1.000
2019,BAL,AL,LF,6,5,45.0,10,10,0,0,0,,1.000
2019,BAL,AL,RF,87,78,673.2,161,157,3,1,1,,.994
2019,BAL,AL,DH,17,17,0.0,0,0,0,0,0,,.000
2021,BAL,AL,1B,77,75,641.0,557,522,34,1,36,,.998
2021,BAL,AL,DH,68,67,0.0,0,0,0,0,0,,.000
2022,BAL,AL,1B,29,27,239.0,228,215,13,0,22,,1.000
2022,BAL,AL,LF,3,3,22.0,6,6,0,0,0,,1.000
2022,BAL,AL,RF,10,10,78.0,27,24,2,1,0,,.963
2022,BAL,AL,DH,51,51,0.0,0,0,0,0,0,,.000
2022,HOU,AL,1B,10,9,84.0,67,66,1,0,3,,1.000
2022,HOU,AL,LF,17,17,140.0,20,20,0,0,0,,1.000
2022,HOU,AL,RF,1,1,8.0,3,3,0,0,0,,1.000
2022,HOU,AL,DH,20,18,0.0,0,0,0,0,0,,.000
2022,2 Teams,,1B,39,36,323.0,295,281,14,0,25,,1.000
2022,2 Teams,,LF,20,20,162.0,26,26,0,0,0,,1.000
2022,2 Teams,,RF,11,11,86.0,30,27,2,1,0,,.967
2022,2 Teams,,DH,71,69,0.0,0,0,0,0,0,,.000
6 Seasons,2 Teams,,1B,264,237,2100.1,1952,1814,131,7,170,,.996
,2 Teams,,LF,212,204,1707.2,390,373,13,4,3,,.990
,2 Teams,,RF,100,91,772.2,195,188,5,2,1,,.990
,2 Teams,,DH,195,191,0.0,0,0,0,0,0,,.000
