Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,20.1,3,3.0,0,0,0,3,100.0
2017,,21.8,24,25.3,-1,10,20,10,41.7
2018,,21.6,24,20.3,4,11,19,6,25.0
2019,,22.0,35,32.1,3,7,33,9,25.7
2021,,22.3,21,22.0,-1,10,19,8,38.1
2022,,23.0,18,25.1,-7,11,26,5,27.8
Player,,22.0,125,127.7,-3,49,117,41,32.8
