Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,BAL,AL,15,15,7,0,0,.286,4,0,2,55,3.667,.267,.200,.---,.714,0,0
2017,BAL,AL,586,265,202,0,4,.352,54,12,77,2280,3.891,.237,.041,.237,.195,4,1
2018,BAL,AL,636,242,237,0,5,.285,50,17,66,2516,3.956,.241,.038,.288,.174,5,0
2019,BAL,AL,679,322,235,0,5,.326,75,22,92,2722,4.009,.211,.052,.441,.244,5,0
2021,BAL,AL,616,240,226,0,1,.308,55,19,82,2468,4.006,.232,.034,.357,.176,2,0
2022,BAL,AL,401,143,134,0,3,.326,27,4,50,1611,4.017,.214,.025,.407,.136,5,1
2022,HOU,AL,186,60,76,0,2,.191,15,8,21,757,4.070,.263,.043,.367,.188,0,0
2022,2 Teams,,587,203,210,0,5,.286,42,12,71,2368,4.034,.230,.031,.393,.152,5,1
6 Seasons,2 Teams,,3119,1287,1117,0,20,.311,280,82,390,12409,3.979,.230,.040,.340,.192,21,2
