 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,13,41,31.7,-6,-1.3,-1.8,0.3,-2.8,29.8
2018,17,54,31.5,-10,0.4,-1.8,-1.1,-2.4,30.9
2019,20,48,41.7,-7,-0.1,-1.9,-0.1,-2.1,30.7
2022,2,8,25,-2,0.1,-2.1,0.6,-1.3,33.7
