BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",4,0,1,0,0,1,0,.277,.831
France1B,4,0,1,0,0,1,1,.273,.773
"Suárez, E3B",3,0,1,0,0,1,1,.236,.803
SantanaDH,3,0,0,0,0,1,2,.195,.671
Frazier2B,3,0,0,0,0,0,0,.241,.622
RaleighC,3,0,0,0,0,2,0,.204,.751
WinkerLF,3,0,0,0,0,1,0,.217,.685
HaggertyRF,3,0,0,0,0,2,0,.288,.814
"Crawford, JSS",3,0,0,0,0,1,0,.250,.677
,29,0,3,0,0,10,4,,
