BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,5,1,1,2,0,1,0,.253,.789
"Marte, SRF",5,2,3,2,0,1,0,.271,.715
LindorSS,5,1,1,2,0,0,1,.241,.757
Alonso1B,4,1,2,0,0,0,0,.269,.779
McCannC,0,0,0,0,0,0,0,.196,.570
Escobar3B,4,0,0,0,0,2,2,.242,.740
McNeil2B,3,1,2,0,1,0,0,.348,.891
CanhaLF,4,1,1,1,0,1,3,.333,.788
DíazP,0,0,0,0,0,0,0,.000,.000
"Smith, DoDH-1B",4,0,0,0,0,2,4,.220,.590
NidoC,3,0,0,0,0,2,0,.184,.390
"a-Davis, JPH",1,0,1,1,0,0,0,.222,.725
1-JankowskiPR-LF,0,1,0,0,0,0,0,.321,.727
,38,8,11,8,1,9,10,,
