BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Newman2B,4,0,1,0,0,1,0,.252,.665
"Reynolds, BCF",4,0,0,0,0,2,1,.254,.788
Hayes3B,4,0,1,0,0,1,0,.251,.676
GamelDH,4,0,1,0,0,1,1,.245,.711
MitchellRF,4,1,0,0,0,1,2,.196,.536
"Allen, GLF",3,0,0,0,0,2,3,.083,.166
"Cruz, OSS",3,1,1,2,0,0,1,.221,.694
VanMeter1B,3,0,0,0,0,1,0,.186,.558
DelayC,3,0,0,0,0,1,0,.308,.819
,32,2,4,2,0,10,8,,
