PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, K(W, 8-4)",7.0,4,2,0,0,7,1,3.16
"Wick(H, 4)",1.0,0,0,0,0,2,0,4.46
"Givens(S, 2)",1.0,0,0,0,0,1,0,2.72
,9.0,4,2,0,0,10,1,
