PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Wilson, B(L, 1-6)",6.0,6,3,3,1,2,0,6.31
Beede,1.0,1,0,0,0,1,0,3.38
Crowe,1.0,3,1,1,0,0,1,3.35
,8.0,10,4,4,1,3,1,
