PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Rasmussen,3.0,0,0,0,0,2,0,2.96
Beeks,1.0,1,0,0,0,0,0,2.40
"Raley, B",2.0,1,0,0,0,1,0,2.48
Fairbanks,1.0,1,0,0,0,2,0,3.86
"Poche(W, 4-1)",1.0,0,0,0,0,2,0,2.92
Armstrong,1.0,0,0,0,0,2,0,5.40
,9.0,3,0,0,0,9,0,
