BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Lowe, JRF",4,2,0,0,1,1,2,.176,.519
FrancoSS,1,0,0,0,0,1,0,.260,.704
Chang2B,3,0,2,0,0,1,0,.164,.494
"a-Díaz, YPH-3B",1,0,0,0,0,0,1,.292,.792
"Ramírez, HLF",5,0,3,3,0,0,1,.321,.816
Choi1B,1,0,0,0,4,0,0,.281,.850
ArozarenaDH,5,0,0,0,0,3,9,.251,.715
Paredes3B-2B,4,1,0,0,1,1,6,.241,.868
KiermaierCF,4,0,1,0,0,1,1,.228,.650
"1-Phillips, BPR-CF",0,0,0,0,0,0,0,.148,.470
Walls2B-SS,3,0,0,0,1,1,1,.163,.511
"Mejía, FC",4,1,2,1,0,1,1,.229,.623
,35,4,8,4,7,10,22,,
