BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,5,0,1,0,0,0,4,.215,.563
DruryDH,5,0,4,2,0,0,1,.278,.877
PhamLF,4,0,0,0,1,4,5,.246,.733
NaquinRF,4,0,0,0,1,2,5,.248,.762
"Stephenson, TC",5,1,2,0,0,2,5,.308,.829
"Farmer, KSS",5,2,1,0,0,2,1,.267,.725
Moustakas1B,3,0,0,0,0,3,1,.206,.603
"a-Reynolds, MPH-1B",2,1,1,0,0,0,2,.248,.688
Solano3B,3,1,2,0,0,0,0,.255,.739
SenzelCF,4,0,2,2,1,0,3,.257,.646
,40,5,13,4,3,13,27,,
