Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2016,23,349,53,1,1.9,1.3,87.9,108.7,10.4,32.1,.280,.390,.299,.325,.402,28.3,25.0,7.5
2017,24,946,120,8,6.7,3.7,89.2,109.9,10.0,43.3,.259,.431,.348,.354,.434,37.5,27.9,15.3
2018,25,2262,293,19,6.5,3.6,89.9,110.9,10.7,33.4,.241,.398,.385,.353,.405,42.1,26.2,15.0
2019,26,1086,132,9,6.8,3.5,89.3,109.9,12.2,35.6,.219,.353,.340,.334,.380,35.6,28.0,18.1
2020,27,978,143,11,7.7,4.9,87.2,106.9,7.6,30.8,.257,.430,.387,.364,.381,32.9,19.1,14.7
2021,28,1548,248,10,4.0,2.6,89.3,111.5,8.8,34.3,.273,.392,.369,.350,.380,41.1,20.5,14.0
2022,29,2781,470,33,7.0,4.9,89.4,111.9,6.1,28.1,.261,.409,.353,.342,.361,39.8,17.2,10.5
Player,,9950,1459,91,6.2,3.8,89.2,111.9,8.7,32.6,.255,.401,.362,.347,.384,38.8,22.3,13.6
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
