 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,80,349,-1,-1,1,3,1
2017,,214,946,-4,-9,11,6,3
2018,,532,"2,260",7,-14,25,12,31
2019,,252,"1,086",-5,-3,13,6,11
2020,,225,978,-6,-6,12,7,7
2021,,385,"1,547",0,-9,22,7,20
2022,,686,"2,834",-2,-4,30,14,38
