Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,21.2,15,12.5,3,6,6,8,53.3
2020,,22.0,10,8.3,2,6,5,5,50.0
2021,,23.1,28,25.6,2,9,12,16,57.1
2022,,22.6,24,21.4,3,9,16,10,41.7
Player,,22.4,77,67.9,9,30,39,39,50.6
