Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,NYM,NL,SS,45,43,374.2,172,59,107,6,22,,.965
2018,NYM,NL,SS,146,141,1271.2,508,160,332,16,58,,.969
2019,NYM,NL,SS,152,151,1337.1,548,161,370,17,72,,.969
2019,NYM,NL,LF,1,0,3.0,1,1,0,0,0,,1.000
2019,NYM,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,NYM,NL,SS,44,37,322.1,107,33,72,2,11,,.981
2021,CLE,AL,SS,121,118,1019.2,414,112,292,10,59,,.976
2021,CLE,AL,CF,18,14,123.1,26,26,0,0,0,,1.000
2021,CLE,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2022,CLE,AL,SS,140,139,1241.0,522,152,358,12,62,,.977
2022,CLE,AL,LF,6,6,45.0,11,9,0,2,0,,.818
2022,CLE,AL,DH,6,6,0.0,0,0,0,0,0,,.000
6 Seasons,2 Teams,,SS,648,629,5566.2,2271,677,1531,63,284,,.972
,2 Teams,,LF,7,6,48.0,12,10,0,2,0,,.833
,CLE,AL,CF,18,14,123.1,26,26,0,0,0,,1.000
,2 Teams,,DH,10,10,0.0,0,0,0,0,0,,.000
