 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,188,15.1,47.9%,1.1%,81,19.7,4.9%,9.9%
2018,,636,15.0,49.2%,0.9%,252,21.4,2.8%,11.1%
2019,,708,16.6,31.6%,0.8%,336,22.0,2.4%,11.9%
2020,,122,15.7,36.9%,3.3%,101,21.9,1.0%,10.9%
2021,,628,16.3,34.2%,1.3%,352,22.2,0.9%,10.8%
2022,,621,16.6,29.1%,1.6%,385,22.2,0.5%,7.8%
