,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2017,NYM,NL,46,170,165,16,41,4,4,4,10,3,49,7,3,2,.248,.271,.394,.665
,2018,NYM,NL,154,592,554,76,142,26,8,9,51,29,119,24,11,3,.256,.295,.381,.676
,2019,NYM,NL,157,655,616,75,177,30,7,15,72,31,124,19,10,3,.287,.323,.432,.755
,2020,NYM,NL,46,147,143,20,36,3,1,4,15,4,34,0,1,0,.252,.272,.371,.643
,2021,CLE,AL,141,588,550,77,155,25,6,11,57,31,120,13,0,3,.282,.321,.409,.730
,2022,CLE,AL,153,670,637,86,180,26,9,11,71,25,111,18,4,4,.283,.312,.403,.715
,6 Seasons,2 Teams,,697,2822,2665,350,731,114,35,54,276,123,557,81,29,15,.274,.308,.404,.712
