BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,5,1,2,0,0,0,2,.267,.870
TurnerSS,4,0,1,0,0,1,4,.306,.845
"Freeman, F1B",4,1,2,0,0,0,1,.324,.938
"Smith, W.D.C",3,0,0,0,1,1,3,.265,.824
Muncy3B,3,1,0,0,1,1,1,.159,.625
Lux2B,3,0,0,1,1,1,2,.291,.784
LambDH,3,1,1,0,0,0,3,.235,.866
BellingerCF,4,1,1,4,0,0,1,.208,.651
"Thompson, TLF",2,0,1,0,2,0,0,.243,.744
,31,5,8,5,5,4,17,,
