PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Montgomery(W, 1-1)",7.0,4,1,1,1,4,1,3.04
Castro,1.0,2,0,0,0,1,0,3.07
McKay,1.0,1,0,0,2,0,0,0.00
,9.0,7,1,1,3,5,1,
