PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Syndergaard(L, 4-3)",2.1,7,5,5,1,0,1,4.02
Rosenberg,5.0,5,4,4,2,5,1,7.50
Bradley,0.2,1,0,0,0,0,0,5.91
,8.0,13,9,9,3,5,2,
