BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,0,0,0,0,2,3,.347,1.145
OhtaniDH,4,0,1,0,0,1,2,.249,.795
TroutCF,4,0,0,0,0,1,3,.302,1.038
Duffy3B,3,0,1,0,1,1,0,.308,.704
Rengifo2B,4,1,1,1,0,0,2,.290,.788
StassiC,3,0,0,0,1,0,1,.241,.729
Walsh1B,4,0,2,0,0,0,2,.250,.774
LagaresLF,3,0,1,0,1,0,2,.250,.641
"Velazquez, ASS",4,0,1,0,0,0,4,.203,.541
,33,1,7,1,3,5,19,,
