BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu3B,4,0,2,2,1,0,1,.256,.718
JudgeCF,3,1,0,1,1,1,5,.303,1.028
Rizzo1B,4,1,1,1,0,0,5,.214,.798
Torres2B,4,0,2,1,0,1,0,.250,.761
AndújarLF,4,1,1,0,0,0,1,.281,.594
CarpenterDH,4,1,1,2,0,2,0,.154,.928
Kiner-FalefaSS,4,1,1,0,0,0,0,.258,.603
TrevinoC,4,2,3,2,0,0,0,.263,.717
GalloRF,3,2,2,0,1,1,0,.179,.601
,34,9,13,9,3,5,12,,
