BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichDH,4,1,3,0,0,0,0,.266,.765
AdamesSS,5,0,1,1,0,2,2,.221,.741
McCutchenLF,2,1,1,2,2,0,0,.253,.721
Brosseau3B,5,0,0,0,0,1,5,.279,.821
RenfroeRF,2,1,0,0,2,1,3,.245,.805
Hiura1B,2,1,1,2,0,1,1,.240,.826
a-TellezPH-1B,2,0,1,0,0,0,0,.242,.807
"Urías, L2B",4,0,0,0,0,1,2,.227,.713
CaratiniC,4,0,1,0,0,0,2,.234,.778
"Taylor, TCF",2,0,0,0,1,0,0,.227,.715
"b-Wong, KoPH",1,1,1,0,0,0,0,.260,.772
,33,5,9,5,5,6,15,,
