BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Nola, AuDH",2,0,0,0,0,0,0,.229,.590
a-CampusanoPH-DH,1,0,0,0,0,0,0,.000,.000
Cronenworth2B,4,0,1,0,0,1,0,.193,.636
"Machado, M3B",3,1,1,0,0,0,2,.339,.988
Beaty1B,1,0,1,0,0,0,0,.125,.375
ProfarLF,3,0,0,0,1,0,3,.224,.892
Hosmer1B,3,1,2,0,0,0,0,.375,.879
AzocarRF,1,0,0,0,0,0,2,.300,.900
MyersRF,3,0,1,1,0,2,1,.192,.482
AbramsSS,1,0,1,0,0,0,0,.143,.488
AlfaroC,4,0,1,0,0,3,3,.214,.651
GrishamCF,4,0,0,1,0,0,2,.132,.459
KimSS-3B,3,0,0,0,0,0,1,.182,.641
,33,2,8,2,1,6,14,,
