Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,28,11,39.3,.244,.256
2017,L,215,116,54.0,.473,.357
2018,L,656,397,60.5,.309,.361
2019,L,533,463,86.9,.419,.358
2020,L,241,214,88.8,.558,.285
2021,L,661,599,90.6,.352,.381
2022,L,691,562,81.3,.370,.339
