 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,28,106,-2,-1,1,1,-1
2017,,215,912,11,-11,7,7,14
2018,,659,"2,852",-6,-24,28,14,13
2019,,536,"2,283",6,-11,16,11,22
2020,,271,"1,118",7,-20,13,5,6
2021,,661,"2,774",9,-31,26,19,22
2022,,710,"2,974",-2,-10,19,15,22
