,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,OAK,AL,11,28,21,3,2,1,0,0,0,7,4,0,0,0,.095,.321,.143,.464
,2017,OAK,AL,59,216,189,33,49,2,0,24,45,22,60,0,0,5,.259,.352,.651,1.003
,2018,OAK,AL,162,660,580,85,143,33,0,29,84,70,163,2,1,8,.247,.335,.453,.788
,2019,OAK,AL,127,547,483,73,129,26,0,36,91,51,138,0,0,12,.267,.351,.545,.896
,2020,OAK,AL,60,245,210,28,41,4,1,14,42,34,77,1,0,1,.195,.310,.424,.734
*,2021,OAK,AL,156,673,565,101,153,35,0,39,111,88,113,4,1,9,.271,.371,.540,.911
,2022,ATL,NL,162,699,616,86,148,44,0,34,103,75,170,0,0,4,.240,.325,.477,.802
,7 Seasons,2 Teams,,737,3068,2664,409,665,145,1,176,476,347,725,7,2,39,.250,.343,.503,.846
