Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,OAK,AL,28,3,4,0,0,.118,1,1,1,106,3.786,.143,.000,1.750,.048,0,0
2017,OAK,AL,216,123,94,0,0,.238,26,6,32,914,4.231,.278,.111,.367,.392,0,0
2018,OAK,AL,660,263,277,0,2,.292,62,13,79,2844,4.309,.247,.044,.429,.207,5,2
2019,OAK,AL,547,263,203,0,1,.300,62,11,87,2288,4.183,.252,.066,.370,.277,3,1
2020,OAK,AL,245,89,125,0,0,.227,19,2,30,1002,4.090,.314,.057,.442,.229,4,1
2021,OAK,AL,673,305,257,0,11,.269,74,17,98,2774,4.122,.168,.058,.779,.269,2,1
2022,ATL,NL,699,294,266,0,4,.274,78,13,90,2893,4.139,.243,.049,.441,.237,1,0
7 Seasons,2 Teams,,3068,1340,1226,0,18,.275,322,63,417,12821,4.179,.236,.057,.479,.253,15,5
