PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Wilson, B",8.0,3,0,0,1,6,0,5.53
"De Jong(BS, 3)",1.0,4,3,3,0,0,2,2.61
"Ramirez, Y(W, 3-1)",1.0,0,0,0,0,0,0,5.13
,10.0,7,3,3,1,6,2,
