PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Kirby(L, 1-2)",6.0,6,2,2,1,6,1,3.56
Romo,0.2,2,2,2,0,1,1,7.43
Borucki,1.1,0,0,0,0,1,0,8.10
Festa,1.0,2,0,0,0,1,0,4.35
,9.0,10,4,4,1,9,2,
