BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Crawford, JSS",4,0,1,1,0,0,0,.296,.819
"Rodríguez, JCF",4,0,0,0,0,2,1,.258,.739
WinkerLF,2,0,0,0,2,1,1,.212,.633
"Suárez, EDH",4,0,2,0,0,0,2,.237,.783
RaleighC,4,0,0,0,0,2,4,.168,.637
TrammellRF,2,0,0,0,0,2,1,.235,.812
a-HaggertyPH-RF,2,0,0,0,0,1,0,.188,.528
Toro3B,4,0,0,0,0,2,1,.164,.527
Frazier2B,3,0,1,0,0,0,0,.229,.608
"Moore, D1B",2,1,0,0,0,0,1,.197,.712
,31,1,4,1,2,10,11,,
