PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Civale(L, 0-1)",0.1,2,3,3,1,1,1,81.00
Hentges,1.2,1,1,1,1,2,1,2.84
Stephan,2.1,0,1,1,1,4,0,1.59
Karinchak,2.1,3,0,0,0,3,0,0.00
Clase,1.1,0,0,0,1,2,0,0.00
,8.0,6,5,5,4,12,2,
