BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MorelCF,3,0,0,0,0,1,2,.293,.888
ContrerasDH,2,0,0,0,1,1,1,.270,.909
Wisdom3B,3,0,0,0,0,2,2,.215,.765
Villar3B-2B,1,0,0,0,0,0,1,.237,.609
Schwindel1B,4,0,2,0,0,1,1,.238,.683
HappLF,3,0,0,0,0,0,2,.263,.799
OrtegaLF,1,0,0,0,0,1,1,.259,.712
GomesC,4,0,2,0,0,0,1,.256,.660
HoernerSS,3,0,1,0,0,0,3,.284,.704
Higgins3B,1,0,0,0,0,0,0,.297,.922
Simmons2B-SS,4,0,0,0,0,0,4,.163,.343
HeywardRF,3,0,0,0,0,1,2,.222,.613
,32,0,5,0,1,7,20,,
