PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Quantrill,7.0,8,3,3,0,6,1,3.51
"Stephan(W, 5-4)",1.0,1,0,0,0,0,0,2.38
"Karinchak(S, 3)",1.0,1,0,0,0,1,0,1.47
,9.0,10,3,3,0,7,1,
