PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Sandoval,5.1,7,2,2,0,3,1,2.99
"Herget(BS, 3)",1.1,2,1,1,0,0,0,2.54
Quijada,0.1,0,0,0,0,1,0,3.58
"Tepera(L, 4-3)",0.0,3,2,2,0,0,1,3.93
Loup,1.0,1,0,0,0,0,0,3.88
,8.0,13,5,5,0,4,2,
