PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Carrasco,5.0,3,0,0,2,8,0,0.84
"Rodríguez, J(L, 0-1)",1.0,1,1,1,0,2,0,13.50
Lugo,1.0,2,2,2,1,2,1,8.31
May,1.0,1,0,0,0,1,0,6.00
Ottavino,1.0,2,0,0,1,3,0,0.00
,9.0,9,3,3,4,16,1,
