PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Gallen,4.0,2,0,0,1,2,0,0.00
"Nelson, K",1.0,0,0,0,1,1,0,0.00
"Poppen(W, 1-0)",1.1,0,0,0,0,0,0,1.93
"Mantiply(H, 1)",0.2,1,0,0,0,1,0,0.00
"Kennedy, I(H, 1)",1.0,2,2,2,1,0,1,9.00
"Melancon(S, 1)",1.0,0,0,0,0,2,0,2.25
,9.0,5,2,2,3,6,1,
