BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,2,0,0,0,1,0,1,.272,.889
a-DíazPH-2B,2,0,0,0,0,0,0,.214,.557
PeñaSS,5,2,1,0,0,1,1,.275,.794
"Alvarez, YDH",3,2,3,2,2,0,0,.321,1.082
Bregman3B,5,1,3,1,0,1,2,.241,.772
TuckerRF,3,3,1,3,1,1,2,.255,.845
DubónRF,1,0,0,0,0,0,2,.240,.651
Gurriel1B,4,1,2,2,0,0,1,.228,.663
Matijevic1B,1,0,0,0,0,0,2,.118,.589
McCormickLF,3,0,0,0,1,2,3,.215,.676
MeyersCF,4,0,2,1,0,2,1,.286,.572
MaldonadoC,4,0,0,0,0,3,2,.144,.482
,37,9,12,9,5,10,17,,
