 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2021,1,7,14.3,-2,-0.6,-2.1,0,-2.7,28.1
2022,3,10,30,-1,-0.2,-2.2,-0.7,-3.2,31.1
