 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,58,236,1,-3,2,1,2
2019,,28,118,-2,-2,0,0,-3
2021,,374,"1,631",11,-17,7,10,12
2022,,525,"2,203",0,-27,14,11,-3
