Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,26,27.8,,,14,26,203,69.8
2021,29,28.1,4.42,,10,10,166,75.6
2022,30,27.8,4.5,,21,11,252,59.7
