 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,196,86.1,82.7,--,--,--,--,--,--,196,82.7,--,--,--,--,--,--
2021,670,86.4,81.5,--,--,216,78.0,--,--,454,82.1,--,--,--,--,--,--
2022,647,87.2,83.7,--,--,--,--,--,--,647,83.7,--,--,--,--,--,--
