Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,20.4,13,13.0,0,5,4,11,84.6
2017,,20.7,11,11.8,-1,7,9,6,54.5
2018,,21.0,19,19.4,0,16,7,12,63.2
2019,,21.9,20,21.3,-1,10,11,14,70.0
2020,,21.3,12,11.2,1,4,10,4,33.3
2021,,21.9,28,27.9,0,7,12,18,64.3
2022,,22.9,23,24.1,-1,11,19,9,39.1
Player,,21.6,126,128.7,-3,60,72,74,58.7
