Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,22,30.7,,10,1,1,2,99.9
2016,23,30.2,4.06,55,3,1,4,99.6
2017,24,30.4,4.09,98,1,1,5,99.4
2018,25,30.1,4.1,121,2,2,8,99.0
2019,26,30.4,4.05,114,1,2,2,99.9
2020,27,30.1,4.1,48,1,3,4,99.4
2021,28,30.7,4.13,147,1,2,2,99.9
2022,29,30.3,4.14,131,2,1,5,99.4
