Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,22,171,28,1,3.6,2.3,86.2,103.0,5.1,32.1,.251,.326,.278,.295,.365,25.0,27.3,9.1
2016,23,1232,250,17,6.8,5.2,89.9,113.5,11.5,34.4,.298,.496,.395,.356,.426,36.4,18.2,4.3
2017,24,1694,333,18,5.4,4.0,89.1,111.9,7.1,29.1,.273,.428,.338,.329,.370,39.2,17.9,6.7
2018,25,2927,534,31,5.8,4.2,89.1,112.3,9.3,29.0,.273,.415,.331,.335,.371,38.6,17.8,9.3
2019,26,2234,410,28,6.8,4.9,90.4,113.5,9.9,29.8,.279,.455,.356,.339,.394,42.0,19.9,7.6
2020,27,1033,199,19,9.5,7.3,90.5,111.2,9.5,34.2,.303,.515,.413,.383,.415,40.7,13.9,8.5
2021,28,2487,489,36,7.4,5.6,89.6,112.2,11.4,34.6,.304,.485,.386,.364,.416,46.2,17.0,6.3
2022,29,2720,527,40,7.6,5.6,88.9,112.5,10.2,35.3,.276,.432,.350,.335,.387,41.6,18.5,6.4
Player,,14498,2770,190,6.9,5.1,89.5,113.5,9.8,32.2,.284,.451,.359,.345,.393,40.9,18.0,7.2
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
