BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKinstry2B,4,0,1,0,0,3,0,.180,.521
HoernerSS,3,0,0,0,1,1,1,.304,.780
"Suzuki, SRF",4,0,0,0,0,2,2,.241,.717
HappLF,4,0,0,0,0,1,2,.278,.805
"Reyes, FDH",4,1,2,0,0,0,0,.229,.654
OrtegaCF,1,1,0,0,1,0,1,.227,.655
"a-Velazquez, NPH-CF",2,0,0,0,0,2,1,.243,.781
Wisdom3B,4,0,0,0,0,1,3,.219,.751
GomesC,3,0,1,1,0,0,2,.232,.622
Higgins1B,3,1,1,2,0,1,1,.283,.884
,32,3,5,3,2,11,13,,
