BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF",4,0,2,0,0,0,0,.234,.681
MenesesRF,4,1,1,0,0,0,2,.347,1.058
Voit1B,4,0,1,0,0,1,2,.226,.736
"Cruz, NDH",3,0,0,1,0,2,1,.237,.670
"a-Hernandez, YPH",1,0,0,0,0,0,0,.272,.729
"Ruiz, KC",4,1,1,0,0,0,1,.244,.658
Hernández2B,4,0,1,1,0,0,0,.247,.623
AbramsSS,2,0,0,0,0,2,0,.221,.576
CallLF,3,0,0,0,0,1,1,.100,.350
"Vargas, I3B",3,0,0,0,0,0,0,.250,.644
,32,2,6,2,0,6,7,,
