PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Abbott,6.0,3,2,2,1,5,1,5.16
"McGee(L, 1-3)",0.2,1,1,1,0,2,0,6.67
Cishek,0.1,1,0,0,0,0,0,3.75
Ramirez,2.0,0,0,0,1,4,0,3.36
,9.0,5,3,3,2,11,1,
