BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BertiSS,4,1,2,0,1,0,3,.292,.806
Chisholm Jr.2B,3,1,2,0,0,1,0,.255,.866
Astudillo3B-2B,2,0,1,0,0,1,3,.294,.696
SolerLF,5,0,1,1,0,1,5,.218,.740
CooperDH,3,0,1,2,1,1,1,.312,.842
Aguilar1B,4,0,0,0,0,1,5,.256,.730
"García, AvRF",4,0,0,0,0,1,0,.226,.590
"Sánchez, JCF",2,0,1,0,2,0,0,.226,.703
StallingsC,4,1,1,0,0,0,3,.200,.530
"Williams, L3B-2B-3B",3,0,2,0,1,1,0,.250,.618
,34,3,11,3,5,7,20,,
