PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Clevinger(L, 5-6)",3.1,4,5,5,2,4,1,3.96
"García, L",1.2,1,0,0,1,3,0,3.24
"Wilson, S",0.2,1,0,0,1,0,0,2.95
"Hill, T",0.1,0,0,0,0,0,0,2.72
Morejon,0.0,3,4,4,1,0,1,4.50
Crismatt,2.0,0,0,0,1,3,0,2.66
,8.0,9,9,9,6,10,2,
