Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,DET,AL,P,9,6,28.2,8,2,6,0,1,,1.000
2015,AZ,NL,P,23,23,127.2,24,9,15,0,1,,1.000
2016,AZ,NL,P,32,32,174.1,23,3,18,2,3,,.913
2017,AZ,NL,P,28,28,162.0,12,0,11,1,1,,.917
2018,AZ,NL,P,24,24,123.2,6,1,5,0,0,,1.000
2019,AZ,NL,P,33,33,174.1,30,7,21,2,2,,.933
2020,AZ,NL,P,7,7,31.0,1,0,1,0,0,,1.000
2020,TOR,AL,P,5,4,20.2,6,1,5,0,0,,1.000
2020,2 Teams,,P,12,11,51.2,7,1,6,0,0,,1.000
2021,TOR,AL,P,32,32,193.1,20,4,15,1,1,,.950
2022,SEA,AL,P,32,32,189.0,24,6,18,0,1,,1.000
9 Seasons,4 Teams,,P,225,221,1224.2,154,33,115,6,10,,.961
