Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Reno Aces,Triple-A,First Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Visalia Rawhide,Class A Advanced,First Inning,,,0.00,1,,,1.0,6,2,3,0,1,0,1,2.00
Reno Aces,Triple-A,Second Inning,,,0.00,1,,,1.0,4,1,1,0,0,0,2,1.00
Visalia Rawhide,Class A Advanced,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Reno Aces,Triple-A,Third Inning,,,9.00,1,,,1.0,6,2,2,1,0,1,2,3.00
Visalia Rawhide,Class A Advanced,Third Inning,,,54.00,1,,,0.1,5,3,2,2,1,0,0,9.00
Reno Aces,Triple-A,Fourth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Reno Aces,Triple-A,Fifth Inning,,,0.00,1,,,0.1,1,0,0,0,0,0,1,0.00
