PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Rasmussen(W, 9-4)",5.1,6,1,1,1,9,1,2.77
Poche,1.2,0,0,0,0,2,0,2.86
"Thompson, R",1.0,4,2,2,0,2,0,3.80
Armstrong,1.0,0,0,0,0,0,0,4.60
,9.0,10,3,3,1,13,1,
