Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2021,CWS,AL,469,165,228,0,5,.271,37,14,74,1809,3.857,.215,.032,.406,.161,9,0
2022,CWS,AL,555,219,189,0,5,.301,46,13,90,2087,3.760,.173,.031,.323,.159,3,0
2 Seasons,CWS,AL,1024,384,417,0,10,.288,83,27,164,3896,3.805,.192,.031,.365,.160,12,0
