BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MendickSS,5,1,1,0,0,0,4,.318,.817
VaughnRF,5,2,3,1,0,0,1,.305,.861
EngelRF,0,0,0,0,0,0,0,.248,.661
Robert Jr.CF,5,0,3,1,0,0,2,.296,.765
"Abreu, JDH",4,1,2,0,1,0,3,.255,.773
Burger3B,5,1,2,2,0,1,5,.245,.723
Grandal1B,4,0,1,2,1,0,1,.163,.487
PollockLF,5,0,0,0,0,1,4,.216,.586
McGuireC,5,0,2,0,0,1,1,.220,.519
Harrison2B,3,1,2,0,0,0,1,.181,.541
,41,6,16,6,2,3,22,,
