PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
Bradish,5.0,3,1,0,5,5,0,4.90
"Gillaspie(W, 1-0)",1.0,1,0,0,0,0,0,3.24
"Baker(H, 9)",2.0,0,0,0,0,5,0,3.54
"Tate(S, 5)",1.0,0,0,0,0,1,0,2.84
,9.0,4,1,0,5,11,0,
