PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Gonzalez, C",4.2,4,1,1,3,3,0,5.87
Luetge,1.1,1,0,0,1,1,0,2.72
"Chapman(L, 3-4)",0.1,1,2,2,3,1,0,4.58
Marinaccio,1.0,0,0,0,0,0,0,2.05
Loáisiga,0.2,1,0,0,0,1,0,4.21
Schmidt,1.0,0,0,0,1,0,0,3.23
,9.0,7,3,3,8,6,0,
