PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Gonsolin(W, 15-1)",7.0,2,0,0,1,8,0,2.12
"Ferguson(H, 7)",1.0,1,1,1,2,2,0,0.46
"Kimbrel(S, 21)",1.0,1,0,0,1,0,0,4.46
,9.0,4,1,1,4,10,0,
