PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Lauer(L, 8-5)",7.0,4,2,2,3,7,2,3.58
Strzelecki,1.0,1,0,0,0,0,0,2.70
Suter,1.0,1,0,0,0,0,0,3.91
,9.0,6,2,2,3,7,2,
